Y1Fe17Zn1            | TM ratio: 0.895 | 19 atoms
Y1Fe17Zn2            | TM ratio: 0.850 | 20 atoms
Y1Fe18Zn1            | TM ratio: 0.900 | 20 atoms
Y2Fe9Zn1             | TM ratio: 0.750 | 12 atoms
Y2Fe10Zn1            | TM ratio: 0.769 | 13 atoms
Y2Fe11Zn1            | TM ratio: 0.786 | 14 atoms
Y2Fe12Zn1            | TM ratio: 0.800 | 15 atoms
Y2Fe13Zn1            | TM ratio: 0.812 | 16 atoms
Y2Fe13Zn2            | TM ratio: 0.765 | 17 atoms
Y2Fe14Zn1            | TM ratio: 0.824 | 17 atoms
Y2Fe15Zn1            | TM ratio: 0.833 | 18 atoms
Y2Fe15Zn2            | TM ratio: 0.789 | 19 atoms
Y2Fe15Zn3            | TM ratio: 0.750 | 20 atoms
Y2Fe16Zn1            | TM ratio: 0.842 | 19 atoms
Y2Fe17Zn1            | TM ratio: 0.850 | 20 atoms
Y3Fe12Zn1            | TM ratio: 0.750 | 16 atoms
Y3Fe13Zn1            | TM ratio: 0.765 | 17 atoms
Y3Fe14Zn1            | TM ratio: 0.778 | 18 atoms
Y3Fe15Zn1            | TM ratio: 0.789 | 19 atoms
Y3Fe15Zn2            | TM ratio: 0.750 | 20 atoms
Y3Fe16Zn1            | TM ratio: 0.800 | 20 atoms
Y4Fe15Zn1            | TM ratio: 0.750 | 20 atoms
Y1Co6Ti1             | TM ratio: 0.750 |  8 atoms
Y1Co7Ti1             | TM ratio: 0.778 |  9 atoms
Y1Co8Ti1             | TM ratio: 0.800 | 10 atoms
Y1Co9Ti1             | TM ratio: 0.818 | 11 atoms
Y1Co9Ti2             | TM ratio: 0.750 | 12 atoms
Y1Co10Ti1            | TM ratio: 0.833 | 12 atoms
Y1Co10Ti2            | TM ratio: 0.769 | 13 atoms
Y1Co11Ti1            | TM ratio: 0.846 | 13 atoms
Y1Co11Ti2            | TM ratio: 0.786 | 14 atoms
Y1Co12Ti1            | TM ratio: 0.857 | 14 atoms
Y1Co12Ti2            | TM ratio: 0.800 | 15 atoms
Y1Co12Ti3            | TM ratio: 0.750 | 16 atoms
Y1Co13Ti1            | TM ratio: 0.867 | 15 atoms
Y1Co13Ti2            | TM ratio: 0.812 | 16 atoms
Y1Co13Ti3            | TM ratio: 0.765 | 17 atoms
Y1Co14Ti1            | TM ratio: 0.875 | 16 atoms
Y1Co14Ti2            | TM ratio: 0.824 | 17 atoms
Y1Co14Ti3            | TM ratio: 0.778 | 18 atoms
Y1Co15Ti1            | TM ratio: 0.882 | 17 atoms
