chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Cu-Y,mp-1187717,Y,0.006933,0.006933,False,3e-06,3e-06,True,GAINED
Cu-Y,mp-1187739,Y,0.0,0.0,True,3e-06,3e-06,True,
Cu-Y,mp-1190402,Y2Cu3,0.346416,0.606476,False,-0.120119,0.15696,False,
Cu-Y,mp-2698,YCu2,-0.261059,0.0,True,-0.266849,0.012901,False,LOST
Cu-Y,mp-2797,YCu5,-0.190248,0.0,True,-0.184158,0.0,True,
Cu-Y,mp-30,Cu,0.0,0.0,True,0.0,0.0,True,
Cu-Y,mp-712,YCu,-0.244927,0.013635,False,-0.241812,0.031262,False,
Cu-Y,mp-9,Y,0.023963,0.023963,False,0.0,0.0,True,GAINED
Cu-Y,mp-989695,Cu,0.005766,0.005766,False,0.00025,0.00025,False,
Cu-Y,mp-989782,Cu,0.007492,0.007492,False,0.000483,0.000483,False,
Cu-Y,mp-998890,Cu,0.03664,0.03664,False,0.035611,0.035611,False,
Fe-Gd,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-Gd,mp-11421,Gd,0.0876,0.0876,False,0.069435,0.069435,False,
Fe-Gd,mp-1181137,GdFe5,0.009751,0.015075,False,0.859409,0.859409,False,
Fe-Gd,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-Gd,mp-1194558,Gd6Fe23,1.242713,1.247781,False,0.995187,0.995187,False,
Fe-Gd,mp-1196805,Gd2Fe17,-0.005717,0.0,True,0.589617,0.589617,False,LOST
Fe-Gd,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-Gd,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Gd,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-Gd,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
Fe-Gd,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-Gd,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-Gd,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-Gd,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Fe-Gd,mp-19981,Gd,0.030212,0.030212,False,6e-06,6e-06,True,GAINED
Fe-Gd,mp-20089,GdFe2,0.016234,0.020494,False,0.018215,0.018215,False,
Fe-Gd,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-Gd,mp-570087,Gd,0.020306,0.020306,False,8e-06,8e-06,True,GAINED
Fe-Gd,mp-581734,Gd2Fe17,-0.005382,0.000335,False,0.587172,0.587172,False,
Fe-Gd,mp-614502,Gd,0.048381,0.048381,False,1.5e-05,1.5e-05,True,GAINED
Fe-Mn,mp-1009134,MnFe,0.092559,0.092559,False,0.092192,0.092192,False,
Fe-Mn,mp-1055908,Mn,0.145445,0.145445,False,0.08316,0.08316,False,
Fe-Mn,mp-1057139,Mn,0.65752,0.65752,False,0.672051,0.672051,False,
